library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status,content_format,content_url
200000000,A New Tax System (Australian Business Number) Act 1999,primary_legislation,C2004A00467,sha256:ef6abc428b7c7dfbcf3fff7f49ad7719dc6d62584b400a01c20685cd9d5d1024,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A00467/latest/text,2025-12-27T05:13:34.209631Z,2025-12-27T05:13:35.587885Z,ok,,in force,A New Tax System (Australian Business Number) Act 1999,InForce,html,https://www.legislation.gov.au/C2004A00467/2024-10-14/2024-10-14/text/original/epub/OEBPS/document_1/document_1.html
200000001,A New Tax System (Family Assistance and Related Measures) Act 2000,primary_legislation,C2004A00637,sha256:5554e6cd5959d26832b5accb85e54226d6c7a076a9f7d14f2ef12d2cf98f7a2e,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A00637/latest/text,2025-12-27T05:13:35.589157Z,2025-12-27T05:13:37.589900Z,ok,,in force,A New Tax System (Family Assistance and Related Measures) Act 2000,InForce,html,https://www.legislation.gov.au/C2004A00637/2000-07-01/2000-07-01/text/original/epub/OEBPS/document_1/document_1.html
200000002,A New Tax System (Family Assistance) (Administration) Act 1999,primary_legislation,C2004A00491,sha256:d1fdba16daefde0099b6219a71b974a8403b086c54807f1d32d32362315b5eda,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A00491/latest/text,2025-12-27T05:13:37.591034Z,2025-12-27T05:13:39.337242Z,ok,,in force,A New Tax System (Family Assistance) (Administration) Act 1999,InForce,html,https://www.legislation.gov.au/C2004A00491/2025-08-03/2025-08-03/text/original/epub/OEBPS/document_1/document_1.html
200000003,A New Tax System (Family Assistance) Act 1999,primary_legislation,C2004A00490,sha256:bb2506787c18d1457aa559b3ea78e57476550f330e4f5f1cbda216b3ecc0e148,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A00490/latest/text,2025-12-27T05:13:39.338524Z,2025-12-27T05:13:41.350581Z,ok,,in force,A New Tax System (Family Assistance) Act 1999,InForce,html,https://www.legislation.gov.au/C2004A00490/2025-12-05/2025-12-05/text/original/epub/OEBPS/document_1/document_1.html
200000004,A New Tax System (Goods and Services Tax Imposition (Recipients)—Customs) Act 2005,primary_legislation,C2005A00001,sha256:8968314f8781b9fe2db74f5a1cff876c1d87cdf3aa1854d0afe8b36cce566391,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2005A00001/latest/text,2025-12-27T05:13:41.351707Z,2025-12-27T05:13:42.561533Z,ok,,in force,A New Tax System (Goods and Services Tax Imposition (Recipients)—Customs) Act 2005,InForce,html,https://www.legislation.gov.au/C2005A00001/asmade/2005-02-18/text/original/epub/OEBPS/document_1/document_1.html
200000005,A New Tax System (Goods and Services Tax Imposition (Recipients)—Excise) Act 2005,primary_legislation,C2005A00002,sha256:2f88c9929d0af0ce4bd4c0cae444dccd77dad687736882110e85b089be5186ef,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2005A00002/latest/text,2025-12-27T05:13:42.562823Z,2025-12-27T05:13:44.181485Z,ok,,in force,A New Tax System (Goods and Services Tax Imposition (Recipients)—Excise) Act 2005,InForce,html,https://www.legislation.gov.au/C2005A00002/asmade/2005-02-18/text/1/epub/OEBPS/document_1/document_1.html
200000006,A New Tax System (Goods and Services Tax Imposition (Recipients)—General) Act 2005,primary_legislation,C2005A00003,sha256:1daba7e41130352e33d1a505ba0314360ba2dcd27c21e0242bc4574cf96d2be5,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2005A00003/latest/text,2025-12-27T05:13:44.182872Z,2025-12-27T05:13:45.856647Z,ok,,in force,A New Tax System (Goods and Services Tax Imposition (Recipients)—General) Act 2005,InForce,html,https://www.legislation.gov.au/C2005A00003/asmade/2005-02-18/text/original/epub/OEBPS/document_1/document_1.html
200000007,A New Tax System (Goods and Services Tax Imposition—Customs) Act 1999,primary_legislation,C2004A00460,sha256:79a7bdb156ce8cbe72630961e7aecf2b256a2038d6c01fd44ae6c394f8000ca4,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A00460/latest/text,2025-12-27T05:13:45.857911Z,2025-12-27T05:13:47.487518Z,ok,,in force,A New Tax System (Goods and Services Tax Imposition—Customs) Act 1999,InForce,html,https://www.legislation.gov.au/C2004A00460/2005-07-01/2005-07-01/text/original/epub/OEBPS/document_1/document_1.html
200000008,A New Tax System (Goods and Services Tax Imposition—Excise) Act 1999,primary_legislation,C2004A00461,sha256:279b2ea2c1163513c0c15903821248d5c753fea6fe727da819cde44f290d738b,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A00461/latest/text,2025-12-27T05:13:47.488824Z,2025-12-27T05:13:49.116375Z,ok,,in force,A New Tax System (Goods and Services Tax Imposition—Excise) Act 1999,InForce,html,https://www.legislation.gov.au/C2004A00461/2005-07-01/2005-07-01/text/original/epub/OEBPS/document_1/document_1.html
200000009,A New Tax System (Goods and Services Tax Imposition—General) Act 1999,primary_legislation,C2004A00462,sha256:f69e1ab9fcd15cf3c8be95ff8c46339cc8ec5b09b84ffe3aec8551f925758a8d,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A00462/latest/text,2025-12-27T05:13:49.117646Z,2025-12-27T05:13:50.771161Z,ok,,in force,A New Tax System (Goods and Services Tax Imposition—General) Act 1999,InForce,html,https://www.legislation.gov.au/C2004A00462/2005-07-01/2005-07-01/text/original/epub/OEBPS/document_1/document_1.html
