library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status,content_format,content_url
500000000,Acts Interpretation Act 1954,primary_legislation,,sha256:6b48cbe7a240957877fbe578ce74072ae4d09e47d57c18f507207662969a3123,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1954-003,2025-12-27T05:05:22.993180Z,2025-12-27T05:05:24.161691Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-1954-003
500000001,Duties Act 2001,primary_legislation,,sha256:ee077c9c6444a90807708e46e6bf873adcac120ecdcfb31e66d156197f471237,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2001-071,2025-12-27T05:05:24.162383Z,2025-12-27T05:05:26.557175Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-2001-071
500000002,Duties Regulation 2023,secondary_legislation,,sha256:55fed35ac62f5ba81add8d1192b4409678a2a5ef9a2695ba1bbaadfd3942ce83,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/sl-2023-0104,2025-12-27T05:05:26.557912Z,2025-12-27T05:05:26.912845Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/sl-2023-0104
500000003,First Home Owner Grant and Other Home Owner Grants Act 2000,primary_legislation,,sha256:454ca7f86635100617447c5ebb9fa8783675545c56be1f0a9879eac9a528b0be,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2000-014,2025-12-27T05:05:26.913496Z,2025-12-27T05:05:27.566599Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-2000-014
500000004,Partnership Act 1891,primary_legislation,,sha256:17771b7389f150fc0011b40bafc418186a7d315007685bbd27b58db3359d0679,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1891-007,2025-12-27T05:05:27.567199Z,2025-12-27T05:05:27.994435Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-1891-007
500000005,Payroll Tax Act 1971,primary_legislation,,sha256:026fee5a3e00abb94b23911c5cedbae43bcc56da2421ef4b30b69d8ef762126c,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1971-037,2025-12-27T05:05:27.995099Z,2025-12-27T05:05:29.008841Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-1971-037
500000006,Payroll Tax Regulation 2019,secondary_legislation,,sha256:52429c4b172b94dd15eca77efdf958da3963b45f409e153fc80e982051c02b5c,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/sl-2019-0147,2025-12-27T05:05:29.009524Z,2025-12-27T05:05:29.154269Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/sl-2019-0147
500000007,Property Law Act 2023,primary_legislation,,sha256:0d2e346a65461a030497b666b6b4759d6a604817af166c99575f6fc2a9975648,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2023-027,2025-12-27T05:05:29.154884Z,2025-12-27T05:05:30.213283Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-2023-027
500000008,Taxation Adminstration Act 2001,primary_legislation,,sha256:7ba32268be20699d09f924b9de0a8053b6693283d668a7fe3f0d4fc4abd9509a,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2001-072,2025-12-27T05:05:30.213969Z,2025-12-27T05:05:30.883308Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-2001-072
500000009,Taxation Adminstration Regulation 2022,secondary_legislation,,sha256:41f5efe02e6f0ad3b0c19d008ed4e4b705840f31a7fea7fddaf320792a5eea6a,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/sl-2022-0108,2025-12-27T05:05:30.884009Z,2025-12-27T05:05:31.027425Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/sl-2022-0108
500000010,Trustee Companies Act 1968,primary_legislation,,sha256:dca3acb2e08477847da32c3a908c03433ff4ad540c833adfae753c3d383872ed,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1968-056,2025-12-27T05:05:31.028286Z,2025-12-27T05:05:31.587120Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-1968-056
500000011,Trusts Act 1973,primary_legislation,,sha256:2455e5ed0b8513c16296b78c2c20613b2ea03c5e909fd0701c3d2b28a9479669,queensland,queensland_legislation,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1973-024,2025-12-27T05:05:31.587790Z,2025-12-27T05:05:32.152760Z,ok,,,,,xml,https://www.legislation.qld.gov.au/view/whole/xml/inforce/current/act-1973-024
