library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status,content_format,content_url
900000000,Duties Act 2008,primary_legislation,,fmt:v2|currency_start:2025-12-19|suffix:03-x0-00,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a146657.html&view=consolidated,2025-12-27T04:18:21.356836Z,2025-12-27T04:18:22.952890Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_49120.docx/$FILE/Duties%20Act%202008%20-%20%5B03-x0-00%5D.docx?OpenElement
900000001,Duties Regulations 2008,secondary_legislation,,fmt:v2|currency_start:2025-05-01|suffix:01-j0-00,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s40675.html&view=consolidated,2025-12-27T04:18:22.953639Z,2025-12-27T04:18:23.802215Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_48412.docx/$FILE/Duties%20Regulations%202008%20-%20%5B01-j0-00%5D.docx?OpenElement
900000002,Interpretation Act 1984,primary_legislation,,fmt:v2|currency_start:2025-12-18|suffix:07-k0-00,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a384.html&view=consolidated,2025-12-27T04:18:23.803007Z,2025-12-27T04:18:24.825233Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_49111.docx/$FILE/Interpretation%20Act%201984%20-%20%5B07-k0-00%5D.docx?OpenElement
900000003,Land Tax Act 2002,primary_legislation,,fmt:v2|currency_start:2015-07-01|suffix:02-d0-04,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a6340.html&view=consolidated,2025-12-27T04:18:24.826011Z,2025-12-27T04:18:25.797035Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_28122.docx/$FILE/Land%20Tax%20Act%202002%20-%20%5B02-d0-04%5D.docx?OpenElement
900000004,Land Tax Assessment Act 2002,primary_legislation,,fmt:v2|currency_start:2025-12-19|suffix:05-m0-00,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a6341.html&view=consolidated,2025-12-27T04:18:25.797755Z,2025-12-27T04:18:26.895492Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_49123.docx/$FILE/Land%20Tax%20Assessment%20Act%202002%20-%20%5B05-m0-00%5D.docx?OpenElement
900000005,Land Tax Assessment Regulations 2003,secondary_legislation,,fmt:v2|currency_start:2022-07-01|suffix:02-f0-00,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s15942.html&view=consolidated,2025-12-27T04:18:26.896289Z,2025-12-27T04:18:27.862444Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_45244.docx/$FILE/Land%20Tax%20Assessment%20Regulations%202003%20-%20%5B02-f0-00%5D.docx?OpenElement
900000006,Partnership Act 1895,primary_legislation,,fmt:v2|currency_start:2017-02-01|suffix:05-f0-01,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a577.html&view=consolidated,2025-12-27T04:18:27.863348Z,2025-12-27T04:18:28.828077Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_29839.docx/$FILE/Partnership%20Act%201895%20-%20%5B05-f0-01%5D.docx?OpenElement
900000007,Pay-roll Tax Act 2002,primary_legislation,,fmt:v2|currency_start:2017-12-14|suffix:00-d0-02,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a6336.html&view=consolidated,2025-12-27T04:18:28.828789Z,2025-12-27T04:18:29.797078Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_38731.docx/$FILE/Pay-roll%20Tax%20Act%202002%20-%20%5B00-d0-02%5D.docx?OpenElement
900000008,Pay-Roll Tax Assessment Act 2002,primary_legislation,,fmt:v2|currency_start:2019-07-01|suffix:04-d0-03,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a6335.html&view=consolidated,2025-12-27T04:18:29.797831Z,2025-12-27T04:18:30.929667Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_42096.docx/$FILE/Pay-roll%20Tax%20Assessment%20Act%202002%20-%20%5B04-d0-03%5D.docx?OpenElement
900000009,Pay-roll Tax Assessment Regulations 2003,secondary_legislation,,fmt:v2|currency_start:2022-07-01|suffix:03-j0-00,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s15941.html&view=consolidated,2025-12-27T04:18:30.930532Z,2025-12-27T04:18:31.807622Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_45213.docx/$FILE/Pay-roll%20Tax%20Assessment%20Regulations%202003%20-%20%5B03-j0-00%5D.docx?OpenElement
900000010,Property Law Act 1969,primary_legislation,,fmt:v2|currency_start:2025-12-18|suffix:04-k0-00,western_australia,western_australia_legislation,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a636.html&view=consolidated,2025-12-27T04:18:31.808346Z,2025-12-27T04:18:33.014082Z,ok,,,,,docx,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_49113.docx/$FILE/Property%20Law%20Act%201969%20-%20%5B04-k0-00%5D.docx?OpenElement
